2020-08-17 09:31:55 info: 	MongoDB Initialized 
2020-08-17 09:31:55 info: 	Express Initialized 
2020-08-17 09:31:55 info: 	Your server is ready ! 
2020-08-17 09:32:05 info: 	MongoDB Initialized 
2020-08-17 09:32:05 info: 	Express Initialized 
2020-08-17 09:32:05 info: 	Your server is ready ! 
2020-08-17 09:32:52 info: 	MongoDB Initialized 
2020-08-17 09:32:52 info: 	Express Initialized 
2020-08-17 09:32:52 info: 	Your server is ready ! 
2020-08-17 09:38:39 info: 	MongoDB Initialized 
2020-08-17 09:38:50 info: 	MongoDB Initialized 
2020-08-17 09:38:50 info: 	Express Initialized 
2020-08-17 09:38:50 info: 	Your server is ready ! 
